urate,gdp,ngdp_usd_nsa,ipi,ber,reer,blr,corecpi,cpi,equity,fxr,policyrate,ltir,stir,privdebt,govdebt,hhdebt,corpdebt,pi_debt,pi_equity,fdi,houseprice,m2,epu
459180297,414411187,414264197,237846503,134723608,246271103,384232917,384031687,237847703,455946987,409107527,455946607,419361657,455946617,371937397 (NNRCAKXYO),371937327 (NNRCAKXYH),372630417 (NNRCAKZLC),372630437 (NNRCAKZLE),389693957,389693947,356268167,211193902,409144567,424145107
459180317,414411197,215439102,419517147,240350403,215440502,384001717,384032117,210465602,455981617,409107547,455946967,419360767,455946977,371937897 (NNRCAKYAM),371937787 (NNRCAKYAB),371937817 (NNRCAKYAE),371937857 (NNRCAKYAI),389701217,389701207,402822517,238288503,409144577,471897247
459180327,227065102,212121102,414442117,227797102,212121902,384235607,496992877,377466297,450248057,409107557,456112457,257534903,455962087,371937647 (NNRCAKXZN),371937537 (NNRCAKXZC),371937567 (NNRCAKXZF),371937607 (NNRCAKXZJ),389701257,389701247,366737697,303175104,409144587,424145117
409151147,414411207,414264207,409207727,227551502,268027201,384233207,384032337,212121402,456055547,409107567,455946637,419517237,455946647,371938147 (NNRCAKYBL),371938037 (NNRCAKYBA),371938067 (NNRCAKYBD),371938107 (NNRCAKYBH),389701297,389701287,419361747,255974703,414245187,424145127
409151157,414411217,414264217,414565407,211194702,238289903,384031667,384044757,238289303,455947127,409107577,450248037,285013102 (BMGBF),450248047,371938327 (NNRCAKYCD),371938257 (NNRCAKYBW),372630457 (NNRCAKZLG),372630477 (NNRCAKZLI),389703337,389703327,316303201,408940797,414245197,424145137
459180337,455955307,238285903,409207757,238289503,242508403,384034917,384044827,238287303,455941437,409107587,456055527,257558803,456055537,371938577 (NNRCAKYDC),371938467 (NNRCAKYCR),371938497 (NNRCAKYCU),371938537 (NNRCAKYCY),389706867,389706857,261659303,403710807,409144617,424145147
459180347,242791303,243020903,409207767,238287103,255929103,384034987,384045527,210463102,456040277,409107597,455954267,419517207,455954277,377032927,456094427,377032847,377032887,389706927,389706917,287428904,371948307,409144627,424145157
460495587,211433102,211433202,409207777,227645702,400513047,384035027,384045677,211629902 (BIDFAAAAA),455909377,409107607,455947117,419522377,455947147,371939047 (NNRCAKYEX),371938937 (NNRCAKYEM),371938967 (NNRCAKYEP),371939007 (NNRCAKYET),389707067,389707057,458357307,408940817,409144637,438436727
501631287,414411227,414264227,414442127,211630402 (BMDAAAAAA),238283203,385722887,403439707,211433902,455941477,409107617,455941427,419652447,401502047 (BMHBAAAAAAAAAC),384683347,384683237,384683267,384683307,389707107,389707097,374320727,408940837,409144647,471897257
459180367,298257101,298257201,479898637,227634802,298258201,384246547,414308747,238282303,455949917,409107627,456040257,419522517,456040267,371939297 (NNRCAKYFW),371939187 (NNRCAKYFL),371939217 (NNRCAKYFO),371939257 (NNRCAKYFS),389707127,389707117,279452803,408940867,409144657,426199667
460495537,354541507,354541517,409207797,238282403,357409587,384050497,384050577,298257901,455981687,409107637,455909357,419522727,455909367,371939797 (NNRCAKYHU),371939687 (NNRCAKYHJ),371939717 (NNRCAKYHM),371939757 (NNRCAKYHQ),389707387,389707377,374354507,419532767,409144667,424145167
409151187,238056203,238110703,414442137,419522187,383886897,384051017,384050647,237003003,455909447,409107647,476095487,455745427,455981637,371940297 (NNRCAKYJS),371940187 (NNRCAKYJH),371940217 (NNRCAKYJK),371940257 (NNRCAKYJO),389707447,389707437,317637701,403699307,409144677,424145177
459180387,414411237,237414303 (BRAAAAAAB),414442147,237753803,370012707,384052437,384050737,455949887,403439587,409107657,505638037,389879787,455949907,371940547 (NNRCAKYKR),371940437 (NNRCAKYKG),371940467 (NNRCAKYKJ),371940507 (NNRCAKYKN),389708147,389708137,281135103,258775203,409144687,424145187
459180397,249414901 (BNAABAAAA),247362801 (BNAAAAAAA),414442157,238111103,237860403,384078317,384050797,237415703 (BRIAAAAAA),455981757,409107667,455981677,286958004,403712347,371939547 (NNRCAKYGV),371939437 (NNRCAKYGK),371939467 (NNRCAKYGN),371939507 (NNRCAKYGR),389708247,389708237,261645703,255971203,409144697,426199297
409151207,414411247,237861203,414442167,237414703 (BRMAAAAAB),212025702,384081427,384050867,249415201 (BNIAAAAAA),455981797,409107677,455909427,257596103,455981727,371941047 (NNRCAKYMP),371940937 (NNRCAKYME),371940967 (NNRCAKYMH),371941007 (NNRCAKYML),389708287,389708277,374736277,210889402,409144707,424145197
460463837,414411257,414264237,409224447,259758901 (BNMAAAAA),230169902,384236607,384050957,237859703,455745417,409107687,455981717,256401903,455961417,371941267 (NNRCAKYNL),371941157 (NNRCAKYNA),371941187 (NNRCAKYND),371941227 (NNRCAKYNH),389708357,389708347,372584107,255970203,409144717,424145207
460464307,414411267,215446802,409224457,237860903,320901401,506718097,384051087,314430801,456039967,409107697,455981787,285448202,389879807,371941517 (NNRCAKYOK),371941407 (NNRCAKYNZ),371941437 (NNRCAKYOC),371941477 (NNRCAKYOG),389708427,389708417,375319967,408940887,409144727,424145217
408364647,249098001 (CAAORS),249098101 (CAAORT),414442177,259759101 (KHMAAAAA),230170002,403608137,384052297,414282477,456043597,409107707,372754377,419513597,456040067,371942207 (NNRCAKYRB),371942097 (NNRCAKYQQ),371942127 (NNRCAKYQT),371942167 (NNRCAKYQX),389708567,389708557,358731937,211192402 (FREABAGAA),409144737,424145227
421548287,414411277,414264247,409225467,212024902,356898917,384082807,384052367,215447702,455946587,409107717,456039957,455443797,455946577,371941737 (NNRCAKYPG),371941627 (NNRCAKYOV),371941657 (NNRCAKYOY),371941697 (NNRCAKYPC),389708647,389708637,299271202,502852897,414245207,424145247
459180627,456040047,238196303,414442187,227797202,238194603,384095197,374732677,249097301 (CIAIBG),455909477,409107727,456040057,419652457,455909467,371941987 (NNRCAKYQF),371941877 (NNRCAKYPU),371941907 (NNRCAKYPX),371941947 (NNRCAKYQB),389771187,389771177,374733047,311852901 (EEAAAAAAAA),409144757,424145257
459180637,414411287,414264257,414442197,260458501 (CMABGP),126751808,384095387,384052547,207511102,455937247,409107737,455955967,285449002,455937237,374676787 (NNRCAKZUS),374676677 (NNRCAKZUH),374676707 (NNRCAKZUK),374676747 (NNRCAKZUO),389771207,389771197,372405997,238198703,414245217,471897277
460491917,414411297,414264267,409225567,227797302,213033302,384237317,384052637,238197703,456039997,409107747,455909457,314404901,460322387,371942457 (NNRCAKYSA),371942347 (NNRCAKYRP),371942377 (NNRCAKYRS),371942417 (NNRCAKYRW),389771287,389771277,366735327,408940947,409144777,424145267
409151217,414411307,414264277,414442207,238197203,401042437,384096187,384141677,238194203,456043667,409108027,455937227,283865204,456043657,371942707 (NNRCAKYSZ),371942597 (NNRCAKYSO),371942627 (NNRCAKYSR),371942667 (NNRCAKYSV),391405877,391405867,359182337,255968603,409144787,424145287
409151227,250819501,261674303,414442227,238193803,212320402,384097807,384078067,212315702,455937287,409108037,456039987,314404801,455937277,371943177 (NNRCAKYUU),371943067 (NNRCAKYUJ),371943097 (NNRCAKYUM),371943137 (NNRCAKYUQ),389771657,389771647,359144657,408940957,409144797,424145237
455938887,210467002,210467102,414442237,212315802,211396702 (EUMAAAAAAB),384097977,501631387,210891102,455937977,409108047,456043647,402772567,455937967,371943577 (NNRCAKYWI),371943507 (NNRCAKYWB),372630497 (NNRCAKZLK),372630517 (NNRCAKZLM),389771787,389771777,375321467,247773802,414245497,424145277
409151237,414411317,414264287,237938703,210890302,210352302,384098227,384078137,251071201,456043697,409108057,455937267,419360757,456043687,371943397 (NNRCAKYVQ),371943287 (NNRCAKYVF),371943317 (NNRCAKYVI),371943357 (NNRCAKYVM),389773147,389773137,375321697,230130402,409144817,424145307
409151247,414411327,414264297,414442247,419532827,212090202 (FRMAAAAAD),403471487,414308767,204954402,455938867,409108067,455937957,419360817,458626517,371943827 (NNRCAKYXH),371943717 (NNRCAKYWW),371943747 (NNRCAKYWZ),371943787 (NNRCAKYXD),389787977,389787967,373323787,408940967,409144827,424145317
409151257,414411337,414264307,419327837,212527802,242508603,384111137,384078287,212319202,455946447,409142247,456043677,256399803,256312403,374677007 (NNRCAKZVO),374676897 (NNRCAKZVD),374676927 (NNRCAKZVG),374676967 (NNRCAKZVK),389787997,389787987,419513647,408940977,409144837,
460492257,414411347,460461577,211244502 (HBAAAAAAA),248449003,211825502 (EMAAAAAAAB),384111177,384078367,211396102 (EUIAAAAAAA),455945347,409142257,458626507,257638903,456113907,371944077 (NNRCAKYYG),371943967 (NNRCAKYXV),371943997 (NNRCAKYXY),371944037 (NNRCAKYYC),389788017,389788007,375311587,366555007,409144857,
409151267,237938503,446155767,414442257,211394902 (EUMAAAAAAC),402739727,384111237,384078457,402580557,402638607,409142267,455946437,419360897,402636737,371944327 (NNRCAKYZF),371944217 (NNRCAKYYU),371944247 (NNRCAKYYX),371944287 (NNRCAKYZB),403439107,389789267,374735867,408940987,409144867,
459180987,414411357,414264317,409236957,210350302,238200903,384164747,384078547,414282497,455656817,409142277,455945337,284983902,455961407,371944577 (NNRCAKZAE),371944467 (NNRCAKYZT),371944497 (NNRCAKYZW),371944537 (NNRCAKZAA),389789277,389789287,375321927,408940997,409144877,
409151277,414411367,402642057,409236967,212090102 (FRMAAAAAC),211243502 (HMAAAAAA),403419637,414308787,237939903,455656947,409142287,402635837,257636403,455656937,371944757 (NNRCAKZAW),371944687 (NNRCAKZAP),372630537 (NNRCAKZLO),372630557 (NNRCAKZLQ),389789297,389789407,375319647,416738637,403764967,
409151287,414411377,414264327,409236977,240339303,212323302,384166327,384078747,414282517,455660487,409142297,455961397,419517297,455660477,371944937 (NNRCAKZBO),371944867 (NNRCAKZBH),372630577 (NNRCAKZLS),372630597 (NNRCAKZLU),389789417,389789897,262008003,419355567,409144897,
409151297,414411387,211244102 (HAAAAAAAC),414442267,211826502 (EMAAAAAAAA),211005602,384167357,414308807,402621597,456040027,409142307,455656927,314405001,456040017,371945407 (NNRCAKZDJ),371945297 (NNRCAKZCY),371945327 (NNRCAKZDB),371945367 (NNRCAKZDF),389789907,389789937,316275501,255652703,409144907,
409151307,414411397,212323702,414442277,296084804,211637602 (IMEEAAAAA),384168267,384081297,238200303,455941527,409142317,455660467,419361607,249446201 (DMAAAAAZAA),371946597 (NNRCAKZHY),371939937 (NNRCAKYII),371946517 (NNRCAKZHQ),371946557 (NNRCAKZHU),389789947,389791207,402774427,208963702 (MERFFAAAA),414245517,
459181007,414411407,414264337,414442287,238199003,315766902,384168307,403465417,414282537,455941567,409142327,403767617,419517887,455945377,371942927 (NNRCAKYTV),371945077 (NNRCAKZCC),371942847 (NNRCAKYTN),371942887 (NNRCAKYTR),389791217,389791247,375324147,238292903,409144927,
459181017,211636502 (IAYCAAAAA),211636702 (IAZCAAAAA),409237107,211242402 (HMAAAAAB),237004803,384169067,403708887,366737187,455949957,409142437,455941517,419355007,456043737,371940047 (NNRCAKYIT),371938717 (NNRCAKYDQ),371939967 (NNRCAKYIL),371940007 (NNRCAKYIP),389791257,389791287,317012701 (HJAAAAAAG),403697657,409144937,
460460407,249445001 (DAAAAAAZAA),249445301 (DAAAAAAZAB),414442297,212321902,237987503,384169197,403632027,211005102,455945387,409142447,455941557,284322802,456043757,371945187 (NNRCAKZCN),371945517 (NNRCAKZDU),371945107 (NNRCAKZCF),371945147 (NNRCAKZCJ),389791297,389791457,355998497,273479803,409144947,
409151337,355821777,238425303,409237127,227634102,246280503,384170097,384082077,229349002 (IIGEAAAAB),384233527,409142457,455945367,285453902,450247917,371938827 (NNRCAKYEB),371945767 (NNRCAKZET),371938747 (NNRCAKYDT),371938787 (NNRCAKYDX),389791467,389791517,261612903,419515477,409144957,
409151347,414411417,414264347,409237137,227651502 (IMDAAAAAA),211827102 (ITMAAAAAAD),384171107,384082177,249445601 (DIAAAAAZAA),456043767,409142467,456043727,456056517,456050357,371945627 (NNRCAKZEF),371940687 (NNRCAKYLF),371945547 (NNRCAKZDX),371945587 (NNRCAKZEB),389791527,389791597,374577777,353171001,409144967,
459181037,414411427,211115102,409237167,249446301 (DMAAAAAZAB),210494602,384171277,384082237,366748467,456043777,409142747,456043747,257500603,456108377,371945877 (NNRCAKZFE),371946017 (NNRCAKZFS),371945797 (NNRCAKZEW),371945837 (NNRCAKZFA),389791607,389791677,366779257,230057802,409144977,
409151367,414411437,414264357,414442307,236415503,249418101 (JMAAAAAAAB),384240317,384094647,237987303,27825501 (JZIA),409142757,456128827,257596003,456050687,371940797 (NNRCAKYLQ),371942817,371940717 (NNRCAKYLI),371940757 (NNRCAKYLM),389791687,389791767,261744403,210347102,409144987,
462133377,414411447,409948037,409237187,237986403,242490103,384113117,384094737,414282557,456050367,409142767,380528477 (JMRAAJAAAAAAAN),419513277,450505827,371946127 (NNRCAKZGD),,371946047 (NNRCAKZFV),371946087 (NNRCAKZFZ),389791777,389794467,366748677,403988157,409144997,
456057357,210509802,414264367,409237197,236287403,315766802,384114757,403704357,211169902 (ITIAAAAAA),455955847,409142777,456050347,257634603,455949827,,,,,389794477,389794867,375340287,377019767,409145007,
409151377,414411457,210510002,249222701 (MOBFAAAAA),211827002 (ITMAAAAAAC),419688217,384123107,384094827,210494302,456050697,409142787,455955837,389676767,455718207,,,,,389794877,389795307,374731437,212330402,409145017,
459181057,414411467,237697503,409761527,210494502,243474303,384123197,384094887,414282577,450506217,409142797,456050677,456055437,456056467,,,,,389795317,389795437,299273302,357602397,409145027,
459181067,455949927,360872277,414442317,249416601 (JMAAAAAAAC),210484202,384123917,384094977,210511002,403420937,409142807,450505817,419515457,456056497,,,,,389795447,389795617,419518367,256095503,409145037,
459181077,400655287,365711537,414442327,210511302,212327002,384240857,384095187,237713103,455954247,409146737,455949817,419517687,456056617,,,,,389795627,390832957,374731827,255860003,414267947,
459181087,270662803,400655297,419355697,240352603,211404102,403468087,384095327,211431802,455718227,409146747,455718197,301135901,455945407,,,,,390832967,389795967,262190003,503417367,409145057,
409151387,414411477,243473903,414442337,211431402,238120003,384125717,403702477,374355317,456056477,409146757,455954237,285455702,455718257,,,,,389795977,389992287,397854987,211457402 (SEVAAAAAA),409145067,
455954617,414411487,414264377,409237247,227692502 (KMAAAAAAA),237849603,384126987,384095437,366748757,456056507,409146767,260498301 (LAMACAAAA),419517597,456060577,,,,,389992297,389993047,366748617,238175903,249411101 (LAKAABAAA),
459181097,414411497,414264387,414442347,238062703,315767002,384142927,384096317,243474103,456056627,409146777,456056457,419518047,455718937,,,,,389993057,389993177,366739847,246516503,409145077,
459181107,249222301 (MOABAAAAA),414264397,409237267,240350703,238294203,384143217,384096467,249411501 (LAIAAAAAA),455945417,409147617,376953977,403900617,450505707,,,,,389993187,389995977,375325497,408941007,409145087,
409151397,208962702 (MAIABAAAA),249222501 (MOABAAAAB),211002402,243474703,237417903 (MXMAAAAAA),384143327,384096767,366777797,456060817,409147627,456056607,406281287,456043857,,,,,389995987,389996017,378116957,370050077,409145097,
459181117,456110757,208962902 (MAIAAAAAA),409237277,259759001 (LAMABAAAA),211828802,384144137,384097407,210471702,455718947,409147637,455945397,449392447,456057377,,,,,389996027,390004357,375325837,458929637,409145107,
459181127,317135702,238291803,414224237,302926004,246440603,402823417,384097517,212326002,455941587,409147647,455718247,357393937,456044197,,,,,390004367,390004807,262002703,211674202,409145117,
460492527,414411507,211548502,414442357,227645902,211004102,384163377,384097607,211403202,456043867,409147657,456060027,256391403,456055417,,,,,390004817,391405887,375328757,237933603,409145127,
409151407,291538902,414264407,414442637,361014687,502975627,403632647,384098157,249223501 (MOIAAAAAA),456057387,409147667,455718927,256390703,456055477,,,,,391405897,390832997,294638802,249100701 (WEHBAAAA),409145137,
466506947,368292997,211827602,367220937,218076302,210415602,384174827,384098357,366777577,456044207,409147677,450505697,258052303,456043797,,,,,390833007,402825497,262020403,408941027,409145147,
459181167,456055447,356945477,409237207,249223101 (MOMEBAACB),230645302,384175287,384111317,208964602 (MIJAAAAAA),456055427,409149677,456043847,385780017,402820767,,,,,402825507,390005457,404082497,408941037,409145157,
459181177,414411517,372768237,414442367,239407903,237945903,385317047,384111387,456043837,455945447,409149687,456057367,419513227,455941627,,,,,390005467,390005497,366737727,402812137,409145167,
459181187,496992657,496992667,409237327,240339403,245734302,384228597,384111527,211549302,456055487,409149697,456044187,257541703,455941647,,,,,390005507,390142747,366748597,414252227,409145177,
455941597,419327677,414264417,409237337,208964802 (MMAAAAAAB),419980067 (ZMIDALAAAAAAAO),384229117,384111597,237417703 (MXIAAAZAA),456043807,409149707,456055407,256389403,455954387,,,,,390142757,390142787,382653467,414252247,409145187,
460478917,414411527,414264427,409237347,238293103,298260601,384229237,384111677,211828502,455941657,409149717,455945437,419517857,196691902,,,,,390142797,390142827,261660303,,409145197,
460478887,414411537,356490447,409237357,211549002,215449402,384229327,384081547,389674487,455954397,409149727,456055467,257596203,455946547,,,,,390142837,390142847,356642097,,409145207,
459181217,356490437,357434307,414442377,237416903 (MXMAAAAAC),249414601 (PMAAAAAZAC),384229347,384111807,238189803,455954607,409149737,456043787,419513427,455954767,,,,,390142857,390142867,402825467,,409145217,
409151327,357434087,414264437,414442387,211828302,246278903,384229367,384111867,211003402,455946557,409149747,455941617,285457102,455954877,,,,,390142877,390142887,316280201,,409145227,
462132567,414411547,256235403,409237387,243085503,211831702,403684577,384111987,402793457,455954777,409149757,455941637,419652997,211490702 (ZMAAAAAAA),,,,,390142897,390142917,316155001,,409145237,
459181237,366837327,373678787,414442397,238189303,246280303,384229447,384112057,249408601 (MMIAAAAAA),455954887,409149767,455954377,419513687,455981737,,,,,390142927,390142937,299274902,,409145247,
459181247,298259101,298259201,409237407,240352003,238116303,385760627,384114727,301131201,46476001 (ZZBA),409151557,196692402,312151901 (TMEFABA),455972897,,,,,390142947,390142957,294638102,,409145257,
409151447,215448002,215448202,409237417,350372602,211189702,384246167,384123057,210414702,455981747,409151567,455946537,419361837,455961697,,,,,390142967,390142977,419518087,,409145267,
459181257,414411557,313741701 (PAAAAAAZAG),414442407,247430401 (MMMAAAAAA),419652497,384229777,384123177,237932403,455981657,409151577,455954757,404754887,455961497,,,,,390142987,390142997,299296302,,409145277,
409151467,414411567,212330302,414442417,292276301,230715502,415372357,384123867,238119603,455962107,409151587,455954867,314405101,455954947,,,,,390143007,390247797,375313757,,409145287,
459181267,414411577,414264447,414442427,214488802,238177703,384229947,384124097,414282597,450247097,409151597,389355567,419522637,455957697,,,,,390247807,390247837,261697303,,409145297,
459181277,369746997,237041703,414442437,211504802,238117903,384230237,414308827,211187102,455961707,409151617,455981647,455945487,385779837,,,,,390247847,390247877,419522067,,409145307,
459181287,414411587,414264457,414442447,236274303,230779802,384230317,384125127,211490402 (ZIAAAAAAA),455961507,409151627,455962097,313759701,455756467,,,,,390247887,390247957,366737667,,409145317,
409151497,414411597,237737903,414442457,210347502,238174303,384230427,384125217,367355697,455954957,409151637,450247087,402591007,455946277,,,,,390247967,390248037,374742347,,409145327,
459181297,455756487,239404503,414442467,227646302,414566477 (LMGFHAAAAAAAAQ),384232277,,298260101,455957707,409151647,455961687,,450505467,,,,,390248047,390248197,374741667,,409145337,
409151507,414411607,258868703,409245267,227651602 (ZMDMBAAAA),245733702,384232497,,215449002,455957727,409151657,455961487,,455955007,,,,,390248207,391405907,375325567,,409145347,
409151517,211457102 (SAUCCAAAA),414264467,415572577,227797402,255992503,384232607,,249414101 (PIAAAAAZAA),455756477,409151767,455954937,,456058727,,,,,391405917,415573087,281456203,,409145357,
459181307,414411617,414264477,414442477,298259701,320901501,416739247,,212329002,455946287,409151777,455957687,,450247997,,,,,415573097,390258417,375319577,,409145367,
459181317,414411627,414264487,465765967,227800002,247334701 (TMIADA),403701097,,210346302,450505477,409151787,455957717,,455957747,,,,,390258427,390258497,369159157,,409145377,
459181327,414411637,414264497,414442487,249413701 (PMAAAAAZAD),211196202,402591427,,374634967,455955017,409151797,455756457,,30987701 (LMEAD),,,,,390258507,390258607,419517807,,409145387,
,414411647,414264507,409245297,212328302,237008503 (TRMCCAAR),,,238553003,456058737,409151807,455946267,,455955147,,,,,390258617,390259037,375314487,,409145397,
,414411657,414264517,414442497,211830602,242470403,,,237737403,450312347,409151817,403397117 (SMFABBAAAAAABC),,455946227,,,,,390259047,390259637,298847002,,409145407,
,211488202 (LANCBAAAA),211488302 (LANCAAAAA),409245317,236041903,271708903,,,366748447,455957757,409154757,455954997,,450247707,,,,,390259647,390259657,375314017,,414267937,
,415572547,415572557,414442507,111961008,311853001 (GMAAAAAD),,,238284903,455942297,409154767,456058717,,456108387,,,,479996137,390259667,390260677,375312297,,409145427,
,414411667,211674102,409245337,240341103,412506977,,,414282617,415372257,409154777,450247987,,455946357,,,,479995737,390260687,390260747,299276302,,409145437,
,414411677,414264527,505809807,240351403,251099201,,,238177403,455942177,409154787,455957737,,455946397,,,,,390260757,390260797,375340057,,409145447,
,414411687,414264537,414442517,238284403,402595377,,,238118203,455955157,409154797,455942287,,455942317,,,,,390260807,390261547,294324902,,409145457,
,455946757,238113503,414442527,211458702 (SMDAAAAAA),,,,211923002,455946237,409154807,455955137,,456127717,,,,,390261557,390262847,415572767,,409145467,
,414411697,414264547,409245377,238176803,,,,208819402 (KITAAAAAA),455942217,409155687,455946217,,455945477,,,,,390262857,416806327,366748517,,415572607,
,236305503 (TRAMBT),237007303 (TRAMAU),416805897,238118703,,,,366737617,450247717,409155697,455942207,,403701087,,,,,416806337,390262887,299275602,,409145477,
,361009127,237740103,409245387,211922302,,,,211489302 (LIAPBAAAA),450247247,409155707,450247697,,455941507,,,,,390262897,390262967,261596003,,409145487,
,414341107,414341117,409245397,238173303,,,,447237317,455943317,409155717,455946747,,456086037,,,,,390262977,402590887,376970237,,409145497,
,414411707,414264557,402600817,211489602 (LMDMBAAAA),,,,235958902,455323097,415572617,450247237,,402590997,,,,,402677127,,455946777,,409145507,
,414411717,414264567,,235959702,,,,211676002,455946407,409155737,455943307,,16302501,,,,,,,319148801 (TJUAAAAAB),,414267957,
,251072501,251072601,,211675002,,,,455946207,455942327,409155747,455946347,,78040101,,,,,,,360985397,,409145527,
,416805867,416805877,,237934203,,,,357032737,455946187,409173637,455946387,,459254247,,,,,,,374827767,,409145537,
,212313202,468026577,,240355603,,,,414282637,43911201 (UZIEFA),409173647,455942307,,459145777,,,,,,,366764027,,409145547,
,468026567,,,314529301 (WMDFAAAA),,,,238115203,416739197,409173657,455946167,,459398037,,,,,,,315952001,,409145557,
,402590667,,,238115003,,,,249410901 (TIBBAJ),410619427,409173667,456107507,,,,,,,,,419522657,,409145567,
,,,,247334101 (TMAAAAAA),,,,211195502,44567501 (VZAA),409173677,455945467,,,,,,,,,367534507,,409145577,
,,,,240351703,,,,366734147 (TRIZEADAAAAAAB),402595387,409173687,416739177,,,,,,,,,416806087,,414278167,
,,,,236291103 (TRMGAA),,,,237739303,,409173697,476095497,,,,,,,,,366738137,,414278177,
,,,,240352503,,,,217443702,,409173707,455941497,,,,,,,,,298893602,,409145607,
,,,,227645402,,,,455946157,,409173717,456086027,,,,,,,,,402590857,,416805927,
,,,,209932002 (GMAAAAAAC),,,,414282657,,409173727,402590987,,,,,,,,,,,409145617,
,,,,227800102,,,,251085601,,416805937,,,,,,,,,,,,409145627,
,,,,416739187,,,,416739127,,409173737,,,,,,,,,,,,409145647,
,,,,227800202,,,,212314002,,409173747,,,,,,,,,,,,,
,,,,227697902 (VMAAAAAAB),,,,366760507,,409173757,,,,,,,,,,,,,
,,,,240353503,,,,366748687,,409173767,,,,,,,,,,,,,
,,,,402595367,,,,402595157,,,,,,,,,,,,,,,
,,,,,,,,414282467,,,,,,,,,,,,,,,
